"scenario","year","co2_MTC","gmst"
"GCAM",1975,3919.58682033763,0.1173
"GCAM",1990,10861.0706671648,0.384228
"GCAM",2005,19333.1476765265,0.700994
"GCAM",2010,29272.8228898176,0.825104
"GCAM",2015,40669.8305038761,0.977712
"GCAM",2020,52056.4434146786,1.128296
"GCAM",2025,65142.5170635184,1.25995
"GCAM",2030,78499.8022253376,1.40396
"GCAM",2035,92302.1836071392,1.55297
"GCAM",2040,106394.105381735,1.70269
"GCAM",2045,120934.619219388,1.85441
"GCAM",2050,135640.934769325,2.00842
"GCAM",2055,150622.163816381,2.16472
"GCAM",2060,165776.91612202,2.32331
"GCAM",2065,181168.326204642,2.48361
"GCAM",2070,196815.182874137,2.6442
"GCAM",2075,212671.965271563,2.8055
"GCAM",2080,228494.935782026,2.9678
"GCAM",2085,244289.511813236,3.12881
"GCAM",2090,260052.122697183,3.28824
"GCAM",2095,275791.489661332,3.44438
"GCAM",2100,291531.211154842,3.59894
"GCAM_SSP1",1975,3917.25816396987,0.1173
"GCAM_SSP1",1990,10858.2010679998,0.384228
"GCAM_SSP1",2005,19317.3044044451,0.700994
"GCAM_SSP1",2010,29262.1566790414,0.824743
"GCAM_SSP1",2015,40675.2753725182,0.977712
"GCAM_SSP1",2020,52369.7917305837,1.129302
"GCAM_SSP1",2025,65317.9489829333,1.26769
"GCAM_SSP1",2030,78025.3498721863,1.42044
"GCAM_SSP1",2035,90984.1128613701,1.57345
"GCAM_SSP1",2040,103824.444344895,1.72746
"GCAM_SSP1",2045,116511.997182218,1.88018
"GCAM_SSP1",2050,128446.966743535,2.0339
"GCAM_SSP1",2055,140127.423781146,2.17614
"GCAM_SSP1",2060,151438.30986441,2.30851
"GCAM_SSP1",2065,162381.71858987,2.43372
"GCAM_SSP1",2070,173005.845725735,2.55077
"GCAM_SSP1",2075,183218.485748384,2.65966
"GCAM_SSP1",2080,192749.099981886,2.76139
"GCAM_SSP1",2085,201696.424127788,2.85267
"GCAM_SSP1",2090,210078.787884315,2.9345
"GCAM_SSP1",2095,217939.593425074,3.00717
"GCAM_SSP1",2100,225335.167007069,3.07126
"GCAM_SSP2",1975,3917.25816396987,0.1173
"GCAM_SSP2",1990,10858.2010679998,0.384228
"GCAM_SSP2",2005,19317.3044044451,0.700994
"GCAM_SSP2",2010,29262.1566790414,0.824743
"GCAM_SSP2",2015,40675.2243484482,0.977712
"GCAM_SSP2",2020,52908.710875462,1.119834
"GCAM_SSP2",2025,66886.0641429146,1.24921
"GCAM_SSP2",2030,80814.9768562557,1.40083
"GCAM_SSP2",2035,95143.5244870202,1.56
"GCAM_SSP2",2040,109742.213249136,1.72333
"GCAM_SSP2",2045,124740.748628517,1.89295
"GCAM_SSP2",2050,139436.522768609,2.07031
"GCAM_SSP2",2055,154455.161839247,2.24564
