"scenario","year","variable","value","units","v"
"historical",1750,"veg_c",500.000564221282,"Pg C","2.5"
"historical",1751,"veg_c",500.00074220599,"Pg C","2.5"
"historical",1752,"veg_c",500.000946978194,"Pg C","2.5"
"historical",1753,"veg_c",500.001174560391,"Pg C","2.5"
"historical",1754,"veg_c",500.001421072507,"Pg C","2.5"
"historical",1755,"veg_c",500.001683317733,"Pg C","2.5"
"historical",1756,"veg_c",500.001958393199,"Pg C","2.5"
"historical",1757,"veg_c",500.002243332021,"Pg C","2.5"
"historical",1758,"veg_c",500.002535230885,"Pg C","2.5"
"historical",1759,"veg_c",500.002831547732,"Pg C","2.5"
"historical",1760,"veg_c",500.003130136124,"Pg C","2.5"
"historical",1761,"veg_c",500.003429025801,"Pg C","2.5"
"historical",1762,"veg_c",500.003726261776,"Pg C","2.5"
"historical",1763,"veg_c",500.004019957173,"Pg C","2.5"
"historical",1764,"veg_c",500.004308419128,"Pg C","2.5"
"historical",1765,"veg_c",500.004590164003,"Pg C","2.5"
"historical",1766,"veg_c",500.004596909947,"Pg C","2.5"
"historical",1767,"veg_c",500.004097715344,"Pg C","2.5"
"historical",1768,"veg_c",500.003436243205,"Pg C","2.5"
"historical",1769,"veg_c",500.003052357728,"Pg C","2.5"
"historical",1770,"veg_c",500.003023926777,"Pg C","2.5"
"historical",1771,"veg_c",500.003200045605,"Pg C","2.5"
"historical",1772,"veg_c",500.003529743055,"Pg C","2.5"
"historical",1773,"veg_c",500.004152721815,"Pg C","2.5"
"historical",1774,"veg_c",500.005220078532,"Pg C","2.5"
"historical",1775,"veg_c",500.006814689205,"Pg C","2.5"
"historical",1776,"veg_c",500.008972359213,"Pg C","2.5"
"historical",1777,"veg_c",500.011707549284,"Pg C","2.5"
"historical",1778,"veg_c",500.015026439873,"Pg C","2.5"
"historical",1779,"veg_c",500.018928200871,"Pg C","2.5"
"historical",1780,"veg_c",500.023408252699,"Pg C","2.5"
"historical",1781,"veg_c",500.028463389288,"Pg C","2.5"
"historical",1782,"veg_c",500.034098123937,"Pg C","2.5"
"historical",1783,"veg_c",500.040315575927,"Pg C","2.5"
"historical",1784,"veg_c",500.047058503482,"Pg C","2.5"
"historical",1785,"veg_c",500.054082959731,"Pg C","2.5"
"historical",1786,"veg_c",500.061124357785,"Pg C","2.5"
"historical",1787,"veg_c",500.06824658861,"Pg C","2.5"
"historical",1788,"veg_c",500.075715993234,"Pg C","2.5"
"historical",1789,"veg_c",500.083713322384,"Pg C","2.5"
"historical",1790,"veg_c",500.092289645446,"Pg C","2.5"
"historical",1791,"veg_c",500.101195859534,"Pg C","2.5"
"historical",1792,"veg_c",500.109982238259,"Pg C","2.5"
"historical",1793,"veg_c",500.118587663215,"Pg C","2.5"
"historical",1794,"veg_c",500.127347278651,"Pg C","2.5"
"historical",1795,"veg_c",500.136553368626,"Pg C","2.5"
"historical",1796,"veg_c",500.146304781699,"Pg C","2.5"
