Date,Ftot_constrain
1850,0
1851,0.05323427
1852,0.10646854
1853,0.15970281
1854,0.21293708
1855,0.26617135
1856,0.31940562
1857,0.37263989
1858,0.425874161
1859,0.479108431
1860,0.532342701
1861,0.585576971
1862,0.638811241
1863,0.692045511
1864,0.745279781
1865,0.798514051
1866,0.851748321
1867,0.904982591
1868,0.958216861
1869,1.011451131
1870,1.064685401
1871,1.117919671
1872,1.171153941
1873,1.224388211
1874,1.277622482
1875,1.330856752
1876,1.384091022
1877,1.437325292
1878,1.490559562
1879,1.543793832
1880,1.597028102
1881,1.650262372
1882,1.703496642
1883,1.756730912
1884,1.809965182
1885,1.863199452
1886,1.916433722
1887,1.969667992
1888,2.022902262
1889,2.076136533
1890,2.129370803
1891,2.182605073
1892,2.235839343
1893,2.289073613
1894,2.342307883
1895,2.395542153
1896,2.448776423
1897,2.502010693
1898,2.555244963
1899,2.608479233
1900,2.661713503
1901,2.714947773
1902,2.768182043
1903,2.821416313
1904,2.874650583
1905,2.927884854
1906,2.981119124
1907,3.034353394
1908,3.087587664
1909,3.140821934
1910,3.194056204
1911,3.247290474
1912,3.300524744
1913,3.353759014
1914,3.406993284
1915,3.460227554
1916,3.513461824
1917,3.566696094
1918,3.619930364
1919,3.673164634
1920,3.726398905
1921,3.779633175
1922,3.832867445
1923,3.886101715
1924,3.939335985
1925,3.992570255
1926,4.045804525
1927,4.099038795
1928,4.152273065
1929,4.205507335
1930,4.258741605
1931,4.311975875
1932,4.365210145
1933,4.418444415
1934,4.471678685
1935,4.524912955
1936,4.578147226
1937,4.631381496
1938,4.684615766
1939,4.737850036
1940,4.791084306
1941,4.844318576
1942,4.897552846
1943,4.950787116
1944,5.004021386
1945,5.057255656
1946,5.110489926
1947,5.163724196
1948,5.216958466
1949,5.270192736
1950,5.323427006
1951,5.376661277
1952,5.429895547
1953,5.483129817
1954,5.536364087
1955,5.589598357
1956,5.642832627
1957,5.696066897
1958,5.749301167
1959,5.802535437
1960,5.855769707
1961,5.909003977
1962,5.962238247
1963,6.015472517
1964,6.068706787
1965,6.121941057
1966,6.175175327
1967,6.228409598
1968,6.281643868
1969,6.334878138
1970,6.388112408
1971,6.441346678
1972,6.494580948
1973,6.547815218
1974,6.601049488
1975,6.654283758
1976,6.707518028
1977,6.760752298
1978,6.813986568
1979,6.867220838
1980,6.920455108
1981,6.973689378
1982,7.026923649
1983,7.080157919
1984,7.133392189
1985,7.186626459
1986,7.239860729
1987,7.293094999
1988,7.346329269
1989,7.399563539
1990,7.416674832
1991,7.416674832
1992,7.416674832
1993,7.416674832
1994,7.416674832
1995,7.416674832
1996,7.416674832
1997,7.416674832
1998,7.416674832
1999,7.416674832
2000,7.416674832
2001,7.416674832
2002,7.416674832
2003,7.416674832
2004,7.416674832
2005,7.416674832
2006,7.416674832
2007,7.416674832
2008,7.416674832
2009,7.416674832
2010,7.416674832
2011,7.416674832
2012,7.416674832
2013,7.416674832
2014,7.416674832
2015,7.416674832
2016,7.416674832
2017,7.416674832
2018,7.416674832
2019,7.416674832
2020,7.416674832
2021,7.416674832
2022,7.416674832
2023,7.416674832
2024,7.416674832
2025,7.416674832
2026,7.416674832
2027,7.416674832
2028,7.416674832
2029,7.416674832
2030,7.416674832
2031,7.416674832
2032,7.416674832
2033,7.416674832
2034,7.416674832
2035,7.416674832
2036,7.416674832
2037,7.416674832
2038,7.416674832
2039,7.416674832
2040,7.416674832
2041,7.416674832
2042,7.416674832
2043,7.416674832
2044,7.416674832
2045,7.416674832
2046,7.416674832
2047,7.416674832
2048,7.416674832
2049,7.416674832
2050,7.416674832
2051,7.416674832
2052,7.416674832
2053,7.416674832
2054,7.416674832
2055,7.416674832
2056,7.416674832
2057,7.416674832
2058,7.416674832
2059,7.416674832
2060,7.416674832
2061,7.416674832
2062,7.416674832
2063,7.416674832
2064,7.416674832
2065,7.416674832
2066,7.416674832
2067,7.416674832
2068,7.416674832
2069,7.416674832
2070,7.416674832
2071,7.416674832
2072,7.416674832
2073,7.416674832
2074,7.416674832
2075,7.416674832
2076,7.416674832
2077,7.416674832
2078,7.416674832
2079,7.416674832
2080,7.416674832
2081,7.416674832
2082,7.416674832
2083,7.416674832
2084,7.416674832
2085,7.416674832
2086,7.416674832
2087,7.416674832
2088,7.416674832
2089,7.416674832
2090,7.416674832
2091,7.416674832
2092,7.416674832
2093,7.416674832
2094,7.416674832
2095,7.416674832
2096,7.416674832
2097,7.416674832
2098,7.416674832
2099,7.416674832
2100,7.416674832
2101,7.416674832
2102,7.416674832
2103,7.416674832
2104,7.416674832
2105,7.416674832
2106,7.416674832
2107,7.416674832
2108,7.416674832
2109,7.416674832
2110,7.416674832
2111,7.416674832
2112,7.416674832
2113,7.416674832
2114,7.416674832
2115,7.416674832
2116,7.416674832
2117,7.416674832
2118,7.416674832
2119,7.416674832
2120,7.416674832
2121,7.416674832
2122,7.416674832
2123,7.416674832
2124,7.416674832
2125,7.416674832
2126,7.416674832
2127,7.416674832
2128,7.416674832
2129,7.416674832
2130,7.416674832
2131,7.416674832
2132,7.416674832
2133,7.416674832
2134,7.416674832
2135,7.416674832
